url,written,written_human_readable,origin,shape,shards,chunks,license,name,description,organismId,fbbiId,wells,images
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/76-45.ome.zarr,282816000.0,269.71 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5912,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/76-45.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/65-12.ome.zarr,293931955.20000005,280.32 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5901,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/65-12.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/34-30.ome.zarr,295543756.79999995,281.85 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5878,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/34-30.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/124-44.ome.zarr,280186598.4,267.21 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5749,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/124-44.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/47-35.ome.zarr,270127411.20000005,257.61 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5937,"[1, 1, 2, 520, 696]","[1, 1, 2, 520, 696]","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/47-35.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/155-45.ome.zarr,304569600.0,290.46 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5853,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/155-45.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/20-29.ome.zarr,267529344.0,255.14 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5863,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/20-29.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/16-45.ome.zarr,284703974.4,271.51 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5858,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/16-45.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/33-46.ome.zarr,279471820.79999995,266.53 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5877,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/33-46.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0010/131-20.ome.zarr,296318745.6,282.59 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5757,"1,2,1,520,696","1,2,1,520,696","1,1,1,520,696",https://creativecommons.org/licenses/by/4.0/,Doil DNA damage screen: idr0010/131-20.ome.zarr,A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.,NCBI:txid9606,obo:FBbi_00000246,384,384
