url,written,written_human_readable,origin
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate11-Green-B.ome.zarr,1475740492.8000002,1.37 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5532
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate2-Yellow-A.ome.zarr,1390305772.8000002,1.29 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5457
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate16-Blue-B.ome.zarr,1385827824.0,1.29 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5523
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate9-Red-A.ome.zarr,1388961388.8000002,1.29 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5464
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate5-TS-Yellow-B-repeated.ome.zarr,1137889136.0,1.06 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5609
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Target-2-A.ome.zarr,559976808.4,534.04 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5635
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate6-Yellow-A.ome.zarr,1413797664.0,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5558
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate5-TS-Yellow-A.ome.zarr,803175228.0,765.97 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5608
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate3-Yellow-A.ome.zarr,1400490057.6,1.30 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5490
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate1-TS-Blue-A-Stinger.ome.zarr,3603339230.3999996,3.36 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5706
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate13-Yellow-B.ome.zarr,1461848121.6,1.36 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5543
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate13-Green-B.ome.zarr,1451944809.6,1.35 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5540
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate10-Blue-B.ome.zarr,1455412713.6,1.36 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5398
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate2-TS-Yellow-B.ome.zarr,1962945993.6000001,1.83 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5632
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate15-Green-A.ome.zarr,1312507795.1999998,1.22 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5546
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate9-Blue-A.ome.zarr,1346473344.0,1.25 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5468
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate5-Blue-A.ome.zarr,1373293008.0,1.28 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5498
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate2-Red-B.ome.zarr,1419444076.8000002,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5461
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate9-Blue-B.ome.zarr,2684504793.6000004,2.50 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5466
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate1-TS-Red-A-Stinger.ome.zarr,3742203591.0,3.49 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5702
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate8-Red-B.ome.zarr,1417169107.1999998,1.32 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5486
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate2-Blue-A.ome.zarr,1445573193.6,1.35 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5460
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate2-TS-Blue-A.ome.zarr,2454948882.0,2.29 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5630
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate10-Red-B.ome.zarr,1434745968.0,1.34 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5391
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate4-TS-Yellow-B.ome.zarr,1064591500.4,1015.27 MB,https://idr.openmicroscopy.org/webclient/?show=plate-5624
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate10-Green-A.ome.zarr,1450005283.1999998,1.35 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5397
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate3-TS-Blue-A.ome.zarr,3304873544.0,3.08 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5615
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate1-Blue-B.ome.zarr,1372183420.8000002,1.28 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5385
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate8-Green-A.ome.zarr,1383071395.1999998,1.29 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5483
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate14-Green-B.ome.zarr,1409164406.4,1.31 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5517
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate13-Green-A.ome.zarr,1387667104.0,1.29 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5541
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0011/Plate1-Green-B.ome.zarr,1360093757.6000001,1.27 GB,https://idr.openmicroscopy.org/webclient/?show=plate-5383
