url,origin,written,written_human_readable,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpA_VIP_ASLM_off.ome.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343601,10233700175,9.53 GB,"1,1,1937,2048,2048","1,1,10,2048,2048","1,1,1,256,256","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpA_VIP_ASLM_off.ome.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpB_whole_cns_MIP.ome.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343609,41708481,39.78 MB,"1,2,1,2738,9357","1,1,1,2816,9472","1,1,1,256,256","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpB_whole_cns_MIP.ome.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpA_VIP_ASLM_off_MIP_XZ_1084to1115.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343603,4250295,4.05 MB,"1478,2048","1536,2048","256,256","y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpA_VIP_ASLM_off_MIP_XZ_1084to1115.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpA_VIP_ASLM_off_XZ_slice1088.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343605,4109514,3.92 MB,"1478,2048","1536,2048","256,256","y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpA_VIP_ASLM_off_XZ_slice1088.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpA_VIP_ASLM_on.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343602,10106627752,9.41 GB,"1937,2048,2048","10,2048,2048","1,256,256","z,y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpA_VIP_ASLM_on.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpA_VIP_ASLM_on_MIP_XZ_1084to1115.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343604,4369913,4.17 MB,"1478,2048","1536,2048","256,256","y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpA_VIP_ASLM_on_MIP_XZ_1084to1115.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpA_VIP_ASLM_on_XZ_slice1088.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343606,4111190,3.92 MB,"1478,2048","1536,2048","256,256","y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpA_VIP_ASLM_on_XZ_slice1088.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpB_whole_cns_AF.ome.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343607,4170976691,3.88 GB,"896,1368,4665","1,1536,4864","1,256,256","z,y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpB_whole_cns_AF.ome.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpB_whole_cns_EGFP.ome.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343608,12026324959,11.20 GB,"1816,2738,9357","1,2816,9472","1,256,256","z,y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpB_whole_cns_EGFP.ome.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0066/ExpB_whole_cns_spinal_cord.ome.zarr,https://idr.openmicroscopy.org/webclient/?show=image-8343610,5918727576,5.51 GB,"1024,2049,2042","10,2056,2056","1,257,257","z,y,x",https://creativecommons.org/licenses/by/4.0/,Voigt: The mesoSPIM initiative – open-source light-sheet microscopes for imaging cleared tissue: ExpB_whole_cns_spinal_cord.ome.zarr,The mesoscale selective plane illumination microscope (mesoSPIM) designed in this study was tested with various cleared tissue samples.,NCBI:txid10090,obo:FBbi_00000369
