url,origin,written,written_human_readable
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190129.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9301,1093406543308.8,1018.31 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190206.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9302,520417095628.80005,484.68 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190211.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9303,766309462976.0,713.68 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190213.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9304,544688192249.60004,507.28 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190220.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9305,733048687040.0,682.70 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190227.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9306,690739485280.0,643.30 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190306.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9307,207498496032.0,193.25 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190313.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9308,524689388428.8,488.66 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190322.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9309,547053181638.39996,509.48 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190327.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9310,532070330425.60004,495.53 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190502.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9311,685957136614.4,638.85 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190510.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9312,674190429753.6,627.89 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190528.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9313,437139320889.6,407.12 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190531.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9314,500893835136.0,466.49 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190607.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9315,506964467942.39996,472.15 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190614.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9316,517431768972.8,481.90 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190621.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9317,342764222784.0,319.22 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190628.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9318,337158637440.0,314.00 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190705.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9319,332984244096.0,310.12 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190710.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9320,343636939008.0,320.04 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190809.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9321,221069545862.4,205.89 GB
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0090/190904.zarr,https://idr.openmicroscopy.org/webclient/?show=plate-9322,1516830564057.5999,1.38 TB
