url,written,written_human_readable,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1033-1112 Asterella gracilis (Mannia gracilis) stature.ome.zarr,24996299181,23.28 GB,"1,3,80,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1033-1112 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0873-0952 Asterella gracilis (Mannia gracilis) stature.ome.zarr,24926130051,23.21 GB,"1,3,80,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0873-0952 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0953-1032 Asterella gracilis (Mannia gracilis) stature.ome.zarr,24929317260,23.22 GB,"1,3,80,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0953-1032 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1115-1184 Asterella gracilis (Mannia gracilis) stature.ome.zarr,21955540631,20.45 GB,"1,3,70,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1115-1184 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0793-0852 Asterella gracilis (Mannia gracilis) stature.ome.zarr,19133999035,17.82 GB,"1,3,60,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0793-0852 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0713-0772 Asterella gracilis (Mannia gracilis) stature.ome.zarr,19163827382,17.85 GB,"1,3,60,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0713-0772 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3471-3570 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x).ome.zarr,17622774282,16.41 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3471-3570 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3572-3671 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x DIC).ome.zarr,17566959555,16.36 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3572-3671 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x DIC).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_4332-4431 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,17521612416,16.32 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_4332-4431 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3371-3470 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x DIC).ome.zarr,17443597622,16.25 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3371-3470 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x DIC).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3171-3270 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x DIC).ome.zarr,16969585692,15.80 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3171-3270 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x DIC).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3772-3871 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,16855387253,15.70 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3772-3871 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_4232-4331 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,17350439345,16.16 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_4232-4331 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3271-3370 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x).ome.zarr,17248999640,16.06 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3271-3370 Asterella gracilis (Mannia gracilis) thallus with air pores anterior view (40x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
