url,written,written_human_readable,origin
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/038d16f4-af14-47b0-a70d-f6349f00b046.zarr,4815104,4.6G,https://ssbd.riken.jp/database/dataset/1279/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/0620364b-b91a-44b6-a290-24fd84d38264.zarr,54784,54M,https://ssbd.riken.jp/database/dataset/7724/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/27f8e9c0-e258-4dd2-ab1b-d2156f9b46e3.zarr,6160256,5.9G,https://ssbd.riken.jp/database/dataset/1280/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/2a942ef9-fb53-4cf4-b142-6c02791acb86.zarr,163328,160M,https://ssbd.riken.jp/database/dataset/7673/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/2b9f8ab8-5e53-434e-bb08-89e54c232ad8.zarr,3968,3.9M,https://ssbd.riken.jp/database/dataset/5001/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/396ac197-aeed-4121-b590-d746b5b27862.zarr,27725440,27G,https://ssbd.riken.jp/database/dataset/7727/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/6b003c94-9e1d-4fe2-99e0-628e5be2321d.zarr,3491328,3.4G,https://ssbd.riken.jp/database/dataset/1282/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/71df7f94-2661-4438-9a6d-3b317cd23409.zarr,159744,156M,https://ssbd.riken.jp/database/dataset/6847/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/8b0e0f7f-0ed4-487a-b8d2-cd6744d43c3e.zarr,11731328,12G,https://ssbd.riken.jp/database/dataset/4335/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/ed70ed19-eec3-439b-b8a0-f38edc1c46a4.zarr,5764096,5.5G,https://ssbd.riken.jp/database/dataset/1281/
https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/riken/f4331e06-dd38-46fd-ab2c-c53bf070db7f.zarr,2621056,2.5G,https://ssbd.riken.jp/database/dataset/352/
