url,origin,written,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://data-humerus.webknossos.org/data/zarr3_experimental/652d442501000053049c0270/color,https://webknossos.org/publications/667e9a7af786d0f782d69ebc,479988063858,"1,11333,23573,2494",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/652d563301000068049c066e/color,https://webknossos.org/publications/667e9a7af786d0f782d69ebc,493546271145,"1,10329,25183,2558",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/64ae72540100007b039f7c82/alpha_sma_16bits,https://webknossos.org/publications/64aeaa06fcf33704ca101ceb,243076329665,"1,7131,18811,1096",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/64ae7bf3010000ea009f7e0d/C00,https://webknossos.org/publications/64aeaa06fcf33704ca101ceb,335508493963,"1,8704,17957,2768",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/64ae95bf0100007b069f7f7f/lyve_16bits,https://webknossos.org/publications/64aeaa06fcf33704ca101ceb,341139065326,"1,8534,21479,1039",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b17f19010000aa0075d7bb/color,https://webknossos.org/publications/62b979370e130578529d66ca,3553012506679,"1,18250,22896,3380",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b17f55010000eb0075d7be/color,https://webknossos.org/publications/62b979370e130578529d66ca,1737314630107,"1,15907,20324,3600",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b17edd010000f70075d7ba/color,https://webknossos.org/publications/62b979370e130578529d66ca,156520441849712,"1,377856,373760,3072",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5c1cd4380100004f6f8c2784/color,https://webknossos.org/publications/62b979370e130578529d66ca,9835478052128,"1,25880,55372,13228",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5c1cd4380100004f6f8c2785/color,https://webknossos.org/publications/62b979370e130578529d66ca,652835550605,"1,7168,10240,5120",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b17fcd010000eb0075d7c0/color,https://webknossos.org/publications/62b979370e130578529d66ca,1296794589276,"1,15555,19821,2647",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b17f91010000ef0075d7bf/color,https://webknossos.org/publications/62b979370e130578529d66ca,123112036126416,"1,506880,691200,1024",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b19325010000860033e7c9/color,https://webknossos.org/publications/62b979370e130578529d66ca,810675687392,"1,8388,5544,8144",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b17f19010000aa0075d7bc/color,https://webknossos.org/publications/62b979370e130578529d66ca,1794086139345,"1,15558,20053,3780",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/62b17edd010000f20075d7b9/color,https://webknossos.org/publications/62b979370e130578529d66ca,919998549291,"1,10394,16102,3643",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5c1cd43801000026708c2783/color,https://webknossos.org/publications/62b979370e130578529d66ca,743029815137,"1,9216,14336,3328",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5c1cd439010000e66f8c2786/color,https://webknossos.org/publications/62b979370e130578529d66ca,412317264032,"1,12032,12032,4864",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/61a89e5d0100002801841985/color,https://webknossos.org/publications/62f0f9ed2b29ed655d89f05e,1068817116,"1,2346,1182,302",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/61a89e5d010000a700841984/color,https://webknossos.org/publications/62f0f9ed2b29ed655d89f05e,1686818398,"1,2781,1637,325",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/61a89e5d010000a700841986/color,https://webknossos.org/publications/62f0f9ed2b29ed655d89f05e,5035317618,"1,1618,1560,1641",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/61a89e5d010000a700841987/color,https://webknossos.org/publications/62f0f9ed2b29ed655d89f05e,7597724990,"1,2452,1320,926",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/621e2194010000a1005dcdc9/color,https://webknossos.org/publications/6290b8703153034732b62f54,76894755231,"1,8316,7091,536",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/621e215801000011015dcdc8/color,https://webknossos.org/publications/6290b8703153034732b62f54,128787050015,"1,10160,6395,1294",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/6064317a010000740060d95a/color,https://webknossos.org/publications/616e71ead3d5bac067f9058a,2364273140997,"1,20951,15644,7095",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5fce193d0100006000cfafed/color,https://webknossos.org/publications/601801b6d77f39e121656acf,321049142096,"1,7168,9216,3456",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5fce1a2d0100007a00cfaff1/color,https://webknossos.org/publications/601801b6d77f39e121656acf,401579800576,"1,8192,10240,3840",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/600590860100008900bd2d31/color,https://webknossos.org/publications/601801b6d77f39e121656acf,234057878817,"1,6756,8340,2481",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/600590b70100001900bd2d33/color,https://webknossos.org/publications/601801b6d77f39e121656acf,228608408705,"1,6747,8213,2598",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/600593550100007d00bd2d45/color,https://webknossos.org/publications/601801b6d77f39e121656acf,491484756889,"1,6635,8986,5356",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5fce1a690100007c00cfaff2/color,https://webknossos.org/publications/601801b6d77f39e121656acf,557272367376,"1,10752,9600,3456",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5fce19f10100007c00cfafef/color,https://webknossos.org/publications/601801b6d77f39e121656acf,328565339072,"1,7168,9216,4096",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/600590850100008000bd2d30/color,https://webknossos.org/publications/601801b6d77f39e121656acf,238146900190,"1,6616,8329,2202",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5fce18c50100001900cfafec/color,https://webknossos.org/publications/601801b6d77f39e121656acf,536871403488,"1,7168,10240,5376",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5fce19b50100007a00cfafee/color,https://webknossos.org/publications/601801b6d77f39e121656acf,283468100070,"1,11264,9216,2688",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5fce19f10100007c00cfaff0/color,https://webknossos.org/publications/601801b6d77f39e121656acf,330712839136,"1,7040,6912,4608",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5ff2feb90100001800af8d3c/color,https://webknossos.org/publications/5ff301c3d05b8265cfa51cc8,503611924363,"1,17101,9171,2501",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5f07015b010000180014536d/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,25706146945,"1,3200,3200,2800",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5f07015b010000180014536e/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,25591456650,"1,3200,3200,2800",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5f0701280100001a0014536b/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,22615055910,"1,3200,3200,3200",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5f0b0dcc01000018001453a0/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,245262414507,"1,5940,11496,7843",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5f07015b010000180014536f/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,18279161465,"1,2650,2850,2300",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5c1cd439010000e66f8c2787/color,https://webknossos.org/publications/5eec8149cfa12a93b0431df8,708670085600,"1,9344,6528,7808",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5da84e9401000018006d210b/color,https://webknossos.org/publications/5db1ddabdf0a57ec5ce52e0f,279173214432,"1,5599,8534,3424",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5beebf44010000f0fd74188d/color,https://webknossos.org/publications/5ca3afb48f887cf6f2b3b601,2276333581504,"1,22416,26512,7424",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5abb89f348d7a73cea44801d/color,https://webknossos.org/publications/5c5ab61e96ec36b84da1fd13,35433599632,"1,4352,4286,896",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5abb89f348d7a73cea448019/color,https://webknossos.org/publications/5c5ab61e96ec36b84da1fd13,807454367600,"1,29000,26242,2767",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5abf857b48d7a73cea450ade/color_1,https://webknossos.org/publications/5c5ab61e96ec36b84da1fd13,95563171344,"1,8932,10476,174",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e01000056001752c5/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,546108767,"1,1001,1001,464",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e0100001d001752c4/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,381332646,"1,833,833,468",,"1,32,32,32","c,x,y,z",,,,,
